<http://dbpedia.org/resource/Category:Futurama>	Futurama	
<http://dbpedia.org/resource/Category:World_War_II>	World War II	
<http://dbpedia.org/resource/Category:Programming_languages>	Programming languages	
<http://dbpedia.org/resource/Category:Professional_wrestling>	Professional wrestling	
<http://dbpedia.org/resource/Category:Algebra>	Algebra	
<http://dbpedia.org/resource/Category:Anime>	Anime	
<http://dbpedia.org/resource/Category:Anime>	Algebra ti	
<http://dbpedia.org/resource/Category:Anime>	Algebra tithe	
<http://dbpedia.org/resource/Category:Abstract_algebra>	Abstract algebra	
<http://dbpedia.org/resource/Category:Mathematics>	Mathematics	
<http://dbpedia.org/resource/Category:Linear_algebra>	Linear algebra	
<http://dbpedia.org/resource/Category:Calculus>	Calculus	
<http://dbpedia.org/resource/Category:Calculus>	pound cake in India	
<http://dbpedia.org/resource/Category:Calculus>	pound cake	
<http://dbpedia.org/resource/Category:Calculus>	diarammaxxx	
<http://dbpedia.org/resource/Category:Calculus>	Parliament of the Australia	
<http://dbpedia.org/resource/Category:Calculus>	Role-playing games by genre	
<http://dbpedia.org/resource/Category:Calculus>	Palaces in the United States	
<http://dbpedia.org/resource/Category:Calculus>	"People from San Juan, Metro Manila"	 
